CI ID,Node IP Address,Node Hostname,Resource IP Address,Resource Name,Operational Status,Resource Type,Resource Description,Resource Alias,Poll Period,Polling,Tags,Bandwidth Configured,Link Id,Link Name,Link Mode,ISP Name,Link Bundle Name,Link Bundle Capacity (Mbps),Requesters
"""131200525846214348860""",10.200.77.4,ALW_ANGAMALY-SOUTH_Switch.federalbank.co.in,,Gi1/0/4,UP,Ethernet,GigabitEthernet1/0/4,STRING:,300,Enabled,,,,,Secondary,,,,
"""131299891975654740193""",10.202.37.4,TVM_EDAVA_SWITCH.federalbank.co.in,,Gi1/0/14,UP,Ethernet,GigabitEthernet1/0/14,STRING:,300,Enabled,,,,,Primary,,,,
"""128532201258167046698""",10.202.34.4,TVM_KALLIKKAD_SW.federalbank.co.in,,Vl982,UP,Prop Virtual,Vlan982,STRING:,300,Enabled,,,,,Primary,,,,
"""130461651524624847013""",10.202.50.4,TVM_VATTAPPARA_SW.federalbank.co.in,,Gi1/0/3,UP,Ethernet,GigabitEthernet1/0/3,STRING:,300,Enabled,,,,,Secondary,,,,
"""130461651524624847023""",10.202.50.4,TVM_VATTAPPARA_SW.federalbank.co.in,,Gi1/0/8,UP,Ethernet,GigabitEthernet1/0/8,STRING:,300,Enabled,,,,,Primary,,,,
"""125374409676164174523""",10.202.58.4,TVM_CHITTUMALA_SWITCH.federalbank.co.in,,Gi1/0/21,UP,Ethernet,GigabitEthernet1/0/21,STRING:,300,Enabled,,,,,Primary,,,,
"""129771153404233519563""",10.202.73.4,TVM_VATTIYOORKAVU_switch.federalbank.co.in,,Gi1/0/3,UP,Ethernet,GigabitEthernet1/0/3,STRING:,300,Enabled,,,,,Primary,,,,
"""129771153404233519571""",10.202.73.4,TVM_VATTIYOORKAVU_switch.federalbank.co.in,,Gi1/0/7,UP,Ethernet,GigabitEthernet1/0/7,STRING:,300,Enabled,,,,,Primary,,,,
"""129771153404233519603""",10.202.73.4,TVM_VATTIYOORKAVU_switch.federalbank.co.in,,Gi1/0/23,UP,Ethernet,GigabitEthernet1/0/23,\--- VODAFONE 4 mbps ---,300,Enabled,,,,,Primary,,,,
"""131340836862570795384""",10.202.59.4,TVM_POOVAR_SWITCH.federalbank.co.in,,Gi1/0/21,UP,Ethernet,GigabitEthernet1/0/21,STRING:,300,Enabled,,,,,Primary,,,,
"""128532233999239614567""",10.203.0.107,THR_POONKUNNAM_SINGLE.federalbank.co.in,,Gi0/0.1,UP,L2 VLAN,GigabitEthernet0/0.1,\--- LAN ---,300,Enabled,,,,,Secondary,,,,
"""125374409676164174559""",10.202.78.4,TVM_GOKULAM_MEDCLG_SW.federalbank.co.in,10.202.78.4,Vl1,UP,Prop Virtual,Vlan1,STRING:,300,Enabled,,,,,Primary,,,,
"""125374599055230898187""",10.202.78.4,TVM_GOKULAM_MEDCLG_SW.federalbank.co.in,,Gi1/0/19,UP,Ethernet,GigabitEthernet1/0/19,STRING:,300,Enabled,,,,,Primary,,,,
"""129771153404233519647""",10.202.74.4,TVM_ATTINGAL_SW.federalbank.co.in,,Gi1/0/2,UP,Ethernet,GigabitEthernet1/0/2,STRING:,300,Enabled,,,,,Primary,,,,
"""129771153404233519655""",10.202.74.4,TVM_ATTINGAL_SW.federalbank.co.in,,Gi1/0/6,UP,Ethernet,GigabitEthernet1/0/6,STRING:,300,Enabled,,,,,Primary,,,,
"""129771153404233519667""",10.202.74.4,TVM_ATTINGAL_SW.federalbank.co.in,,Gi1/0/12,UP,Ethernet,GigabitEthernet1/0/12,STRING:,300,Enabled,,,,,Primary,,,,
"""129771153404233519675""",10.202.74.4,TVM_ATTINGAL_SW.federalbank.co.in,,Gi1/0/16,UP,Ethernet,GigabitEthernet1/0/16,STRING:,300,Enabled,,,,,Primary,,,,
