CI ID,Node IP Address,Node Hostname,Resource IP Address,Resource Name,Operational Status,Resource Type,Resource Description,Resource Alias,Poll Period,Polling,Tags,Bandwidth Configured,Link Id,Link Name,Link Mode,ISP Name,Link Bundle Name,Link Bundle Capacity (Mbps),Requesters
"""129314975318809776217""",10.213.254.25,CBE_SURANDAI_SEC.federalbank.co.in,10.213.25.3,BV1,UP,Ethernet,BVI1,\---- LAN ----,300,Enabled,Airtel,,,,Primary,,,,
"""131210534986714190303""",10.213.23.4,CBE_PERIYAKULAM_SW.federalbank.co.in,,Gi1/0/10,DOWN,Ethernet,GigabitEthernet1/0/10,STRING:,300,Enabled,,,,,Primary,,,,
"""110138394113985221078""",10.213.26.4,CBE_VADAVALLI_switch.federalbank.co.in,,Gi1/0/1,DOWN,Ethernet,GigabitEthernet1/0/1,STRING:,300,Enabled,,,,,Secondary,,,,
"""110138394114253656085""",10.213.26.4,CBE_VADAVALLI_switch.federalbank.co.in,,Gi1/0/13,DOWN,Ethernet,GigabitEthernet1/0/13,STRING:,300,Enabled,,,,,Primary,,,,
"""131210534986714190362""",10.213.29.4,CBE_ATTIYAMPETTI_SW.federalbank.co.in,10.213.29.4,Vl1,UP,Prop Virtual,Vlan1,STRING:,300,Enabled,,,,,Primary,,,,
"""131210534986714190397""",10.213.29.4,CBE_ATTIYAMPETTI_SW.federalbank.co.in,,Gi1/0/15,UP,Ethernet,GigabitEthernet1/0/15,STRING:,300,Enabled,,,,,Primary,,,,
"""123356130119506727231""",10.213.30.4,CBE_SARAVANAMPATTI_SW.federalbank.co.in,,Gi1/0/8,UP,Ethernet,GigabitEthernet1/0/8,\--- TRUNK ---,300,Enabled,,,,,Primary,,,,
"""123356130119506727245""",10.213.30.4,CBE_SARAVANAMPATTI_SW.federalbank.co.in,,Gi1/0/15,DOWN,Ethernet,GigabitEthernet1/0/15,STRING:,300,Enabled,,,,,Primary,,,,
"""129314975318809776448""",10.213.31.4,CBE_PALLADAM_SWITCH.federalbank.co.in,,Gi1/0/9,DOWN,Ethernet,GigabitEthernet1/0/9,STRING:,300,Enabled,,,,,Primary,,,,
"""131210534986714190455""",10.213.32.4,CBE_NAMAKKAL_SW.federalbank.co.in,,Gi1/0/1,UP,Ethernet,GigabitEthernet1/0/1,STRING:,300,Enabled,,,,,Primary,,,,
"""128991787222972764327""",10.213.34.4,CBE_PERUMDURAI_switch.federalbank.co.in,10.213.34.4,Vl1,UP,Prop Virtual,Vlan1,STRING:,300,Enabled,,,,,Primary,,,,
"""128991787222972764347""",10.213.34.4,CBE_PERUMDURAI_switch.federalbank.co.in,,Gi1/0/7,UP,Ethernet,GigabitEthernet1/0/7,STRING:,300,Enabled,,,,,Secondary,,,,
"""128991787222972764359""",10.213.34.4,CBE_PERUMDURAI_switch.federalbank.co.in,,Gi1/0/13,DOWN,Ethernet,GigabitEthernet1/0/13,STRING:,300,Enabled,,,,,Primary,,,,
"""128991787222972764369""",10.213.34.4,CBE_PERUMDURAI_switch.federalbank.co.in,,Gi1/0/18,DOWN,Ethernet,GigabitEthernet1/0/18,STRING:,300,Enabled,,,,,Primary,,,,
"""130763613256429867050""",10.213.35.4,CBE_KODUMUDY_switch.federalbank.co.in,,Gi1/0/9,UP,Ethernet,GigabitEthernet1/0/9,\--- Trunk To RTR ---,300,Enabled,,,,,Primary,,,,
"""130763613256429867064""",10.213.35.4,CBE_KODUMUDY_switch.federalbank.co.in,,Gi1/0/16,DOWN,Ethernet,GigabitEthernet1/0/16,STRING:,300,Enabled,,,,,Primary,,,,
"""126921574540169450023""",10.213.40.4,CBE_KOVILPATTI_switch.federalbank.co.in,,Gi1/0/3,DOWN,Ethernet,GigabitEthernet1/0/3,STRING:,300,Enabled,,,,,Primary,,,,
"""126921574540169450029""",10.213.40.4,CBE_KOVILPATTI_switch.federalbank.co.in,,Gi1/0/6,UP,Ethernet,GigabitEthernet1/0/6,STRING:,300,Enabled,,,,,Primary,,,,
"""130293339689904509159""",10.213.41.4,CBE_DHARAPURAM_switch.federalbank.co.in,,Gi1/0/6,DOWN,Ethernet,GigabitEthernet1/0/6,STRING:,300,Enabled,,,,,Primary,,,,
"""130939277954901872749""",10.213.38.4,CBE_KALINGARAYAN_SWITCH.federalbank.co.in,10.213.38.4,Vl1,UP,Prop Virtual,Vlan1,STRING:,300,Enabled,,,,,Primary,,,,
"""130939277954901872777""",10.213.38.4,CBE_KALINGARAYAN_SWITCH.federalbank.co.in,,Gi1/0/11,DOWN,Ethernet,GigabitEthernet1/0/11,STRING:,300,Enabled,,,,,Secondary,,,,
"""130939277954901872785""",10.213.38.4,CBE_KALINGARAYAN_SWITCH.federalbank.co.in,,Gi1/0/15,DOWN,Ethernet,GigabitEthernet1/0/15,STRING:,300,Enabled,,,,,Secondary,,,,
"""130939277954901872795""",10.213.38.4,CBE_KALINGARAYAN_SWITCH.federalbank.co.in,,Gi1/0/20,UP,Ethernet,GigabitEthernet1/0/20,\--- JIO 4 Mbps ---,300,Enabled,,,,,Primary,,,,
"""128884678633834156455""",10.213.36.4,CBE_KOTAGIRI_switch.federalbank.co.in,,Gi1/0/2,UP,Ethernet,GigabitEthernet1/0/2,STRING:,300,Enabled,,,,,Primary,,,,
"""128884678633834156465""",10.213.36.4,CBE_KOTAGIRI_switch.federalbank.co.in,,Gi1/0/7,UP,Ethernet,GigabitEthernet1/0/7,STRING:,300,Enabled,,,,,Primary,,,,
"""110138456283368394779""",10.213.42.4,CBE_ANNUR_switch.federalbank.co.in,,Gi1/0/1,DOWN,Ethernet,GigabitEthernet1/0/1,STRING:,300,Enabled,,,,,Primary,,,,
"""110138456283368394789""",10.213.42.4,CBE_ANNUR_switch.federalbank.co.in,,Gi1/0/6,UP,Ethernet,GigabitEthernet1/0/6,\--- Trunk to RTR ---,300,Enabled,,,,,Primary,,,,
"""110138456283636830234""",10.213.42.4,CBE_ANNUR_switch.federalbank.co.in,,Gi1/0/22,DOWN,Ethernet,GigabitEthernet1/0/22,***BSNL 4 Mbps***,300,Enabled,,,,,Primary,,,,
"""131260654823301714197""",10.213.47.4,CBE_SULAKAL_SW.federalbank.co.in,,Gi1/0/3,UP,Ethernet,GigabitEthernet1/0/3,STRING:,300,Enabled,,,,,Primary,,,,
"""131260654823301714207""",10.213.47.4,CBE_SULAKAL_SW.federalbank.co.in,,Gi1/0/8,DOWN,Ethernet,GigabitEthernet1/0/8,STRING:,300,Enabled,,,,,Primary,,,,
"""130763613256429867121""",10.213.46.4,CBE_PALOOR_switch.federalbank.co.in,,Gi1/0/2,DOWN,Ethernet,GigabitEthernet1/0/2,STRING:,300,Enabled,,,,,Secondary,,,,
"""130763613256429867155""",10.213.46.4,CBE_PALOOR_switch.federalbank.co.in,,Gi1/0/19,UP,Ethernet,GigabitEthernet1/0/19,\--- Uplink to Router ---,300,Enabled,,,,,Secondary,,,,
"""130293339689904509239""",10.213.50.4,CBE_YETTACODE_SW.federalbank.co.in,,Gi1/0/4,UP,Ethernet,GigabitEthernet1/0/4,STRING:,300,Enabled,,,,,Secondary,,,,
"""130293339689904509255""",10.213.50.4,CBE_YETTACODE_SW.federalbank.co.in,,Gi1/0/12,DOWN,Ethernet,GigabitEthernet1/0/12,STRING:,300,Enabled,,,,,Primary,,,,
"""129314975318809776508""",10.213.49.4,CBE_VALUKKUPARAI_switch.federalbank.co.in,10.213.49.4,Vl1,UP,Prop Virtual,Vlan1,STRING:,300,Enabled,,,,,Primary,,,,
"""129314975318809776526""",10.213.49.4,CBE_VALUKKUPARAI_switch.federalbank.co.in,,Gi1/0/6,DOWN,Ethernet,GigabitEthernet1/0/6,STRING:,300,Enabled,,,,,Primary,,,,
"""129314975318809776562""",10.213.49.4,CBE_VALUKKUPARAI_switch.federalbank.co.in,,Gi1/0/24,DOWN,Ethernet,GigabitEthernet1/0/24,\--- VF 4 Mbps ---,300,Enabled,,,,,Secondary,,,,
